SIM_PMOS_0.1_ID_VG.tif<MEDICI_DATA>
V(Gate) I(Drain) 
Volts Amps/um 
2 -6.24213e-07 
1.96 -6.24744e-07 
1.92 -6.25288e-07 
1.88 -6.25846e-07 
1.84 -6.2642e-07 
1.8 -6.27015e-07 
1.76 -6.27632e-07 
1.72 -6.28277e-07 
1.68 -6.28955e-07 
1.64 -6.29675e-07 
1.6 -6.30446e-07 
1.56 -6.31278e-07 
1.52 -6.32182e-07 
1.48 -6.33167e-07 
1.44 -6.34235e-07 
1.4 -6.35379e-07 
1.36 -6.36582e-07 
1.32 -6.37827e-07 
1.28 -6.39097e-07 
1.24 -6.40378e-07 
1.2 -6.41659e-07 
1.16 -6.42928e-07 
1.12 -6.44173e-07 
1.08 -6.45376e-07 
1.04 -6.46518e-07 
1 -6.47588e-07 
0.96 -6.48581e-07 
0.92 -6.49506e-07 
0.88 -6.50374e-07 
0.84 -6.51201e-07 
0.8 -6.52e-07 
0.76 -6.5278e-07 
0.72 -6.53551e-07 
0.68 -6.54322e-07 
0.64 -6.55102e-07 
0.6 -6.55897e-07 
0.56 -6.56718e-07 
0.52 -6.57575e-07 
0.48 -6.5848e-07 
0.44 -6.59443e-07 
0.4 -6.60485e-07 
0.36 -6.61631e-07 
0.32 -6.6291e-07 
0.28 -6.64348e-07 
0.24 -6.65963e-07 
0.2 -6.67754e-07 
0.16 -6.69705e-07 
0.12 -6.71796e-07 
0.08 -6.74022e-07 
0.04 -6.76395e-07 
0 -6.78954e-07 
-0.04 -6.81764e-07 
-0.08 -6.84903e-07 
-0.12 -6.88533e-07 
-0.16 -6.92796e-07 
-0.2 -6.97804e-07 
-0.24 -7.03599e-07 
-0.28 -7.0999e-07 
-0.32 -7.16833e-07 
-0.36 -7.24064e-07 
-0.4 -7.3166e-07 
-0.44 -7.39648e-07 
-0.48 -7.48077e-07 
-0.52 -7.56996e-07 
-0.56 -7.66443e-07 
-0.6 -7.76477e-07 
-0.64 -7.87212e-07 
-0.68 -7.98778e-07 
-0.72 -8.11407e-07 
-0.76 -8.25297e-07 
-0.8 -8.40732e-07 
-0.84 -8.58307e-07 
-0.88 -8.79195e-07 
-0.92 -9.0563e-07 
-0.96 -9.40649e-07 
-1 -9.85883e-07 
-1.04 -1.03982e-06 
-1.08 -1.09913e-06 
-1.12 -1.16082e-06 
-1.16 -1.22302e-06 
-1.2 -1.28479e-06 
-1.24 -1.34565e-06 
-1.28 -1.4054e-06 
-1.32 -1.46395e-06 
-1.36 -1.52132e-06 
-1.4 -1.57753e-06 
-1.44 -1.63261e-06 
-1.48 -1.6866e-06 
-1.52 -1.73959e-06 
-1.56 -1.79165e-06 
-1.6 -1.84284e-06 
-1.64 -1.89325e-06 
-1.68 -1.94294e-06 
-1.72 -1.99201e-06 
-1.76 -2.04055e-06 
-1.8 -2.08867e-06 
-1.84 -2.13646e-06 
-1.88 -2.18406e-06 
-1.92 -2.23156e-06 
-1.96 -2.27906e-06 
-2 -2.32661e-06 
